,Access Number,Azimuth,Elevation,Time,C/No,Eb/No,BER,Range,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed,Lat,Lon,Alt,Antenna Azimuth,Antenna Elevation
0,9,163.89928490939695,1.5748707289332702,22 Jun 2025 10:15:44.000000000,48.902979280698545,45.89267932405873,1e-30,2760.5280073842523,47.67849418251469,187.37465376488694,1.1560661150163993,157.25628736056802,17.678494182514694,30.0,-139.69615958237225,-139.69615958237225,4112.581597560728,778.929376278172,-5619.02629786171,6.100761220882074,-0.6068677560780356,4.382033214245772,7.535900147848222,39.32359620308395,121.1419799350415,628.2217121891855,163.43765696609063,2.634909443945255
1,9,163.33082760121954,3.259380024125166,22 Jun 2025 10:16:09.000000000,42.27770791926888,39.26740796262907,1e-30,2589.2602264591796,40.49689367096786,186.81832461476975,1.2487595645128389,156.99788771698232,10.496893670967857,30.0,-146.3214309438019,-146.3214309438019,4263.594289605342,763.4783494227876,-5507.4567351794485,5.97978028839806,-0.6291457521846685,4.543173435046222,7.536180832219705,37.80039720483893,120.69230865515263,627.8801989710823,162.81494485106376,4.397123675032927
2,9,162.6923918721733,5.071488506799636,22 Jun 2025 10:16:34.000000000,47.95308854791021,44.9427885912704,1e-30,2418.4294894443133,45.57942889225639,186.22547920741695,1.3618291694946258,156.80622663534047,15.579428892256384,30.0,-140.64605031516058,-140.64605031516058,4411.5280797783535,747.4759804211745,-5391.899270980254,5.854458639780952,-0.6509734314138825,4.701052923585364,7.536468069570991,36.27578997259535,120.2565130369841,627.5478379198638,162.10980766473654,6.303771450509989
3,9,161.96618875103215,7.03930024453394,22 Jun 2025 10:16:59.000000000,45.63374652397803,42.62344656733822,1e-30,2248.2826362624837,42.626436399462904,185.59182873855565,1.5014023313079152,156.70812232660305,12.626436399462902,30.0,-142.96539233909277,-142.96539233909277,4556.275557544113,730.9337259394769,-5272.436860922497,5.72488478344001,-0.672334936904384,4.855556659678515,7.536761275666994,34.74987030613756,119.833340274703,627.2258916453417,161.30026756310298,8.387917384963252
4,9,161.12808894756586,9.199358116154416,22 Jun 2025 10:17:24.000000000,46.02365356199808,43.01335360535827,1e-30,2079.1359156981302,42.33698292233031,184.912468223403,1.6759507370650688,156.73878436104127,12.33698292233031,30.0,-142.5754853010727,-142.5754853010727,4697.7315658872085,713.8634316783665,-5149.155306166893,5.591150363470312,-0.6932147313763631,5.006571905993758,7.537059857836965,33.222726564753955,119.42166345108438,626.9155996150538,160.35606669021533,10.69288062343318
5,9,160.14454780608602,11.599795794071172,22 Jun 2025 10:17:49.000000000,42.798458737917386,39.788158781277566,1e-30,1911.4042947455573,38.38118163551566,184.18186176066908,1.8973537931200595,156.94497715102673,8.381181635515658,30.0,-145.8006801251534,-145.8006801251534,4835.793277837151,696.2773344249613,-5022.143194580116,5.453350106178819,-0.713597597332977,5.153988295219172,7.537363216585503,31.69444081208104,119.02046511271585,626.6181742512098,159.23440850901036,13.276128155582324
6,9,158.96757560927807,14.304805334068872,22 Jun 2025 10:18:14.000000000,35.35333080873814,32.34303085209834,1e-30,1745.6461524022961,30.14812686697667,183.39393492130932,2.182472250332362,157.38993511703268,0.14812686697666969,30.0,-153.24580805433266,-153.24580805433266,4970.360275012779,678.1880437812009,-4891.49183940695,5.311581760579783,-0.7334686625558611,5.297697916642003,7.537670747271223,30.16508978310533,118.62882325660553,626.3347970925839,157.8728188207013,16.214738155499155
7,9,157.52615878095037,17.400882685172387,22 Jun 2025 10:18:39.000000000,38.83534249162901,35.825042534989194,1e-30,1582.6329003277697,32.77861803440072,182.5424144058425,2.5554072393361795,158.16109206388276,2.7786180344007176,30.0,-149.76379637144177,-149.76379637144177,5101.334623643268,659.6085292428961,-4757.295215388593,5.1659460365826675,-0.7528134167772184,5.437595401942794,7.537981841885357,28.63474570241898,118.24589932087648,626.066615033488,156.17661660256024,19.612809772127346
8,9,155.7108979397611,21.005156559954862,22 Jun 2025 10:19:04.000000000,41.44875022016821,38.4384502635284,1e-30,1423.4595193794505,34.47132439005459,181.62171303295713,3.0504604346423325,159.38236237333732,4.4713243900545905,30.0,-147.15038864290256,-147.15038864290256,5228.620946831356,640.5521293050463,-4619.64989164077,5.016546542570475,-0.7716177067730969,5.573578010660538,7.538295890988906,27.103476978578385,117.87092784807757,625.814736652437,153.995734369485,23.610548074189566
9,9,153.3448966445458,25.275019050664877,22 Jun 2025 10:19:29.000000000,40.68952916335563,37.67922920671582,1e-30,1269.722328807052,32.71937605066484,180.62898575037997,3.7150017001126283,161.23241868757069,2.7193760506648386,30.0,-147.90960969971516,-147.90960969971516,5352.126500688977,621.0325238696109,-4478.654961116559,4.863489713496848,-0.789867771709571,5.705545715096981,7.538612285900941,25.571348794426363,117.50320754969641,625.5802286425609,151.0791219790376,28.39198080095725
