,Access Number,Azimuth,Elevation,Range,Time,C/No,Eb/No,BER,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed,Lat,Lon,Alt,Modulation
382,14,218.5060827261737,74.18995346210191,656.7277151747724,23 Jun 2025 10:39:34.000000000,31.47193265622395,28.461632699584136,1e-30,17.775311298732078,174.9025175055789,10.718708007884773,91.38188325874155,-12.22468870126792,30.0,-157.12720620684684,-157.12720620684684,5871.685851870438,625.5812890410946,-3770.674333063503,4.109123901469845,-0.7969729908593571,6.271568711829263,7.540068918318043,-32.57811630315626,-65.34644277191724,634.1712062336559,BPSK
383,14,220.47104824466868,74.58129870886918,655.5725704126157,23 Jun 2025 10:39:35.000000000,20.17322766008917,17.16292770344936,9.767942383029528e-25,6.461314890072768,174.88722609305438,10.736006973949738,94.55630671146552,-23.53868510992723,30.0,-168.42591120298164,-168.42591120298164,5875.791561685995,624.7839513011514,-3764.4005904671562,4.102320008711046,-0.7976972865094795,6.275944634010663,7.540081661622958,-32.51711655804925,-65.36248822938782,634.1478871150848,BPSK
384,14,222.54071498105174,74.95553059622546,654.4962043566813,23 Jun 2025 10:39:36.000000000,25.603089220923103,22.59278926428329,1e-30,11.876903614158323,174.872953256306,10.750812842855826,97.6804309306138,-18.123096385841677,30.0,-162.99604964214768,-162.99604964214768,5879.890465825042,623.9858940265865,-3758.1224739548047,4.095511310707589,-0.7984206613260356,6.280313301224498,7.540094403262033,-32.45611485274852,-65.3785177372457,634.1245807722127,BPSK
385,14,224.71781463304058,75.31098125705124,653.4990097270525,23 Jun 2025 10:39:37.000000000,31.378709201600422,28.36840924496061,1e-30,17.63927962561393,174.85970928708429,10.763104662718481,100.73632454628635,-12.360720374386071,30.0,-157.22042966147035,-157.22042966147035,5883.982560392878,623.1871095503043,-3751.8399907836642,4.088697814123789,-0.7991431203751431,6.284674708268515,7.5401071431919,-32.39511119206493,-65.3945313539929,634.101287293634,BPSK
386,14,227.00412311026724,75.6459115303558,652.5813507501815,23 Jun 2025 10:39:38.000000000,32.64709109655711,29.6367911399173,1e-30,18.89545601446048,174.84750378097417,10.772865314767943,103.70840790945515,-11.104543985539523,30.0,-155.9520477665137,-155.9520477665137,5888.067840136146,622.3876030837263,-3745.5531482131832,4.0818795273758655,-0.79986465978756,6.289028849944111,7.540119881369037,-32.334105580693965,-65.41052913792707,634.0780067678378,BPSK
387,14,229.40020676238066,75.95852648707712,651.7435645297668,23 Jun 2025 10:39:39.000000000,32.352432881011616,29.342132924371803,1e-30,18.589639659457085,174.83634564151626,10.780081364620417,106.58377862029104,-11.410360340542915,30.0,-156.24670598205915,-156.24670598205915,5892.146299832225,621.5873798472954,-3739.2619534761557,4.075056458853508,-0.8005852757175804,6.293375721082931,7.540132617749876,-32.27309802326795,-65.42651114713208,634.054739283206,BPSK
388,14,231.90515528296447,76.24699663998494,650.9859626859222,23 Jun 2025 10:39:40.000000000,31.59173600153435,28.581436044894538,1e-30,17.8188402274398,174.82624308897624,10.784742895749787,109.3523448243655,-12.181159772560202,30.0,-157.00740286153643,-157.00740286153643,5896.217935589185,620.786432161986,-3732.9664138718763,4.068228615264176,-0.801304973199093,6.2977153164891435,7.540145352290619,-32.21208852461311,-65.4424774394296,634.0314849281607,BPSK
389,14,234.51630834659647,76.50948808917343,650.3088264223101,23 Jun 2025 10:39:41.000000000,31.08281875323009,28.072518796590277,1e-30,17.30088347258292,174.81720358242364,10.786844025918823,112.00680527076577,-12.699116527417079,30.0,-157.5163201098407,-157.5163201098407,5900.282742199524,619.9847652462827,-3726.666536643432,4.061396005008555,-0.8020237483824847,6.302047631010881,7.540158084947476,-32.151077089183296,-65.45842807249008,634.008243790884,BPSK
390,14,237.22901667845946,76.74419632592922,649.7124089175534,23 Jun 2025 10:39:42.000000000,31.214634264779946,28.204334308140133,1e-30,17.42472924202834,174.80923384031917,10.786382418478306,114.54246321977354,-12.575270757971657,30.0,-157.38450459829085,-157.38450459829085,5904.340714900203,619.1823800234062,-3720.36232906663,4.054558635938691,-0.8027416003800587,6.306372659487723,7.540170815676525,-32.09006372178122,-65.47436310369407,633.9850159596384,BPSK
391,14,240.03644866565466,76.94938737751706,649.1969341385419,23 Jun 2025 10:39:43.000000000,31.89594555002072,28.885645593380907,1e-30,18.099146501445553,174.8023398144956,10.783359699120808,116.9569690622855,-11.900853498554449,30.0,-156.70319331305006,-156.70319331305006,5908.391848925867,618.3792774182784,-3714.0537984383736,4.047716515929626,-0.80345852830357,6.310690396756592,7.540183544433722,-32.02904842694029,-65.49028259025329,633.9618015224986,BPSK
392,14,242.9294771046896,77.12344377595794,648.7625956352874,23 Jun 2025 10:39:44.000000000,32.601209580952556,29.59090962431274,1e-30,18.798597382800516,174.79652666491876,10.777781292983365,119.24998999243789,-11.20140261719948,30.0,-155.99792928211824,-155.99792928211824,5912.4361390788445,617.575462673233,-3707.740952043806,4.040869653431568,-0.8041745283315658,6.315000837672132,7.540196271174987,-31.96803120938848,-65.50618658912161,633.9386005675516,BPSK
393,14,245.89667814680672,77.26491162287546,648.4095593228386,23 Jun 2025 10:39:45.000000000,32.51185511765191,29.5015551610121,1e-30,18.704515043539622,174.7917987889585,10.769656232285199,121.42285786228405,-11.295484956460378,30.0,-156.0872837454189,-156.0872837454189,5916.473581534839,616.7709280771452,-3701.423797154777,4.034018055118214,-0.804889605456448,6.31930397711645,7.540208995856238,-31.907012073790614,-65.52207515704725,633.9154131828046,BPSK
394,14,248.92445344862315,77.37255100077947,648.1379584841579,23 Jun 2025 10:39:46.000000000,30.225854229515964,27.21555427287615,1e-30,16.41487511416146,174.7881597477163,10.758997337022683,123.47823425384634,-13.585124885838539,30.0,-158.37328463355482,-158.37328463355482,5920.504171087399,615.9656788760191,-3695.10234110401,4.027161729491427,-0.8056037558486993,6.323599809935332,7.540221718433224,-31.845991024542442,-65.53794835061176,633.8922394560648,BPSK
395,14,251.99730369410918,77.44537977826847,647.9478966304753,23 Jun 2025 10:39:47.000000000,19.68377812263697,16.673478165997157,2.644627016075571e-22,5.87025155829857,174.7856122987324,10.745821188175812,125.41979443741862,-24.12974844170143,30.0,-168.91536074043384,-168.91536074043384,5924.5279030333195,615.1597159921384,-3688.7765911609667,4.020300684397561,-0.8063169786280197,6.327888331031636,7.540234438861808,-31.784968066183165,-65.55380622615294,633.8690794751501,BPSK
396,14,255.09823773165533,77.48271218249924,647.8394465372522,23 Jun 2025 10:39:48.000000000,26.64589181286042,23.635591856220607,1e-30,12.83091132855878,174.78415837876918,10.730147993525723,127.25194458915267,-17.16908867144122,30.0,-161.95324705021036,-161.95324705021036,5928.544772643236,614.3530403554956,-3682.446554653605,4.013434927746734,-0.807029272908862,6.332169535280239,7.540247157097729,-31.723943203704085,-65.56964883970706,633.8459333279641,BPSK
397,14,258.20930129680636,77.48418683094091,647.8126501033449,23 Jun 2025 10:39:49.000000000,32.63331868345476,29.62301872681495,1e-30,18.81797891926889,174.7837990988849,10.712001359777837,128.9795786036653,-11.182021080731111,30.0,-155.965820179616,-155.965820179616,5932.55477519908,613.5456528964564,-3676.1122389096668,4.006564467449151,-0.8077406378070496,6.336443417568084,7.540259873096746,-31.66291644126099,-65.58547624725607,633.8228011020224,BPSK
