,Access Number,Azimuth,Elevation,Time,C/No,Eb/No,BER,Range,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed
221,9,176.48536735185826,20.36870991234902,21 Jun 2025 11:31:03.000000000,83.1462369035678,80.13593694692798,1e-30,1466.804469596039,76.42935314446811,181.8822551039711,0.09370000000088904,-178.76995535809127,46.4293531444681,30.0,-105.452901959503,-105.452901959503,2750.3811091192847,840.7586697490901,-6389.29468722707,6.928065004759062,-0.5166248437964179,2.9145578093720883,7.533898935051271
222,9,176.5730332198783,20.518523891246744,21 Jun 2025 11:31:04.000000000,83.18320529364074,80.17290533700093,1e-30,1460.574806565442,76.42935314599681,181.84528671542682,0.09370000000477874,-178.79230417351678,46.429353145996814,30.0,-105.41593356943004,-105.41593356943004,2757.3074602561974,840.2415628507629,-6386.376482101787,6.924887655404708,-0.5175946316849351,2.9219480758878937,7.533906941349259
223,9,176.66166419749007,20.669293253756237,21 Jun 2025 11:31:05.000000000,83.22027811404779,80.20997815740797,1e-30,1454.354115230243,76.42935314446811,181.80821389349114,0.09370000000088904,-178.81537744244156,46.4293531444681,30.0,-105.37886074902302,-105.37886074902302,2764.230630293492,839.7234864745288,-6383.450888420931,6.921702299358025,-0.5185638275908542,2.929335000950697,7.533914965807529
224,9,176.75127533494324,20.821027580960962,21 Jun 2025 11:31:06.000000000,83.25745529766529,80.24715534102548,1e-30,1448.1425188574312,76.42935314599681,181.7710367114023,0.09370000000477874,-178.83919079069432,46.429353145996814,30.0,-105.34168356540549,-105.34168356540549,2771.1506112144543,839.2044412139572,-6380.5179095347285,6.918508940178628,-0.5195324304005263,2.936718576050562,7.5339230083994035
225,9,176.84188198709685,20.97373653707219,21 Jun 2025 11:31:07.000000000,83.29473674757884,80.28443679093903,1e-30,1441.9401426195648,76.42935314446811,181.73375525996005,0.09370000000088904,-178.86376021779407,46.4293531444681,30.0,-105.30440211549194,-105.30440211549194,2778.0673950118144,838.6844276632166,-6377.577548799445,6.915307581432533,-0.5205004390019553,2.9440987926873134,7.53393106909815
226,9,176.93349982112875,21.127429869361254,21 Jun 2025 11:31:08.000000000,83.33212235802341,80.3218224013836,1e-30,1435.7471136073607,76.42935314293938,181.69636964798678,0.09369999999699934,-178.8891021068161,46.42935314293938,30.0,-105.2670165050474,-105.2670165050474,2784.980973710957,838.1634464157039,-6374.629809567432,6.91209822668134,-0.5214678522871284,2.951475642395378,7.53393914787699
227,9,177.0261448233867,21.282117405936532,21 Jun 2025 11:31:09.000000000,83.36961200423032,80.3593120475905,1e-30,1429.5635609261883,76.42935314446811,181.65888000330858,0.09370000000088904,-178.91523323438057,46.4293531444681,30.0,-105.22952685884049,-105.22952685884049,2791.8913393000703,837.6414980686335,-6371.6746952169015,6.908880879514645,-0.5224346691438799,2.958849116669059,7.533947244709098
228,9,177.11983330814118,21.437809056660196,21 Jun 2025 11:31:10.000000000,83.40720553457146,80.39690557793165,1e-30,1423.389615662724,76.42935314446811,181.62128647296743,0.09370000000088904,-178.94217078137646,46.4293531444681,30.0,-105.19193332849935,-105.19193332849935,2798.798483805963,837.118583217745,-6368.712209119583,6.905655543514821,-0.5234008884654637,2.9662192070435545,7.53395535956761
229,9,177.21458192488362,21.594514810855088,21 Jun 2025 11:31:11.000000000,83.44490278333166,80.43460282669184,1e-30,1417.2254109774462,76.42935314446811,181.58358922420723,0.09370000000088904,-178.96993234349003,46.4293531444681,30.0,-105.15423607973914,-105.15423607973914,2805.7023992296877,836.5947024624941,-6365.742354668206,6.902422222287013,-0.5243665091407517,2.97358590502639,7.5339634924255945
230,9,177.31040766740432,21.752244737662124,21 Jun 2025 11:31:12.000000000,83.48270356272663,80.47240360608681,1e-30,1411.0710820880945,76.42935314446811,181.54578844481227,0.09370000000088904,-178.99853594255387,46.4293531444681,30.0,-105.11643530034418,-105.11643530034418,2812.603077605295,836.0698564006327,-6362.7651352514085,6.899180919431656,-0.525331530064796,2.9809492021597808,7.533971643256104
231,9,177.40732788173267,21.911008983921086,21 Jun 2025 11:31:13.000000000,83.52060766350274,80.51030770686293,1e-30,1404.9267663476767,76.42935314446811,181.50788434403614,0.09370000000088904,-179.0280000377625,46.4293531444681,30.0,-105.07853119956805,-105.07853119956805,2819.5005109528056,835.54404563262,-6359.780554273818,6.895931638566498,-0.5262959501302306,2.988309089970733,7.5339798120321255
232,9,177.50536027506692,22.07081777325844,21 Jun 2025 11:31:14.000000000,83.55861485430731,80.54831489766752,1e-30,1398.792603270799,76.42935314446811,181.46987715323155,0.09370000000088904,-179.05834353740417,46.4293531444681,30.0,-105.04052400876347,-105.04052400876347,2826.3946912899755,835.0172707608509,-6356.788615151052,6.8926743833211495,-0.5272597682286176,2.995665559983632,7.53398799872658
233,9,177.60452292517064,22.2316814053374,21 Jun 2025 11:31:15.000000000,83.59672488110493,80.58642492446515,1e-30,1392.6687345504336,76.42935314446811,181.43176712643395,0.09370000000088904,-179.0895858111343,46.4293531444681,30.0,-105.00241398196584,-105.00241398196584,2833.285610655822,834.4895323868075,-6353.789321299616,6.889409157325948,-0.528222983256273,3.0030186037449997,7.53399620331238
234,9,177.7048342894827,22.39361025418906,21 Jun 2025 11:31:16.000000000,83.6349374679112,80.62463751127139,1e-30,1386.555304106468,76.42935314599681,181.39355454115642,0.09370000000477874,-179.1217467022349,46.429353145996814,30.0,-104.96420139515959,-104.96420139515959,2840.1732610986633,833.9608311131552,-6350.782676141906,6.8861359642175595,-0.5291855941097349,3.0103682128111307,7.534004425762402
235,9,177.80631311629386,22.5566147625846,21 Jun 2025 11:31:17.000000000,83.67325230744089,80.66295235080108,1e-30,1380.452458276572,76.42935314446811,181.355239700098,0.09370000000088904,-179.1548465026721,46.4293531444681,30.0,-104.9258865556299,-104.9258865556299,2847.0576340044945,833.4311696353778,-6347.76868313271,6.882854808055974,-0.5301475946652853,3.0177143786786926,7.534012666049398
236,9,177.9089788462055,22.720705454480406,21 Jun 2025 11:31:18.000000000,83.71166907892788,80.70136912228807,1e-30,1374.3603453293842,76.42935314446811,181.316822928611,0.09370000000088904,-179.18890611646532,46.4293531444681,30.0,-104.8874697841429,-104.8874697841429,2853.9387226857743,832.9005443851753,-6344.747345696383,6.879565691703932,-0.5311089938558651,3.025057092956763,7.534020924146176
237,9,178.0128510365687,22.88589291290179,21 Jun 2025 11:31:19.000000000,83.75018742729074,80.73988747065093,1e-30,1368.279116261794,76.42935314446811,181.27830458024818,0.09370000000088904,-179.2239468488333,46.4293531444681,30.0,-104.84895143578007,-104.84895143578007,2860.8165185413422,832.3689580545048,-6341.718667302093,6.87626861923605,-0.5320697855581867,3.0323963471553843,7.534029200025422
238,9,178.11794976172854,23.052187791897925,21 Jun 2025 11:31:20.000000000,83.78880697475118,80.77850701811137,1e-30,1362.208924319872,76.42935314599681,181.2396850343164,0.09370000000477874,-179.25999056930488,46.429353145996814,30.0,-104.81033188831961,-104.81033188831961,2867.691013628265,831.8364112511223,-6338.682651408547,6.872963594327985,-0.5330299686701447,3.0397321328389335,7.534037493659817
239,9,178.2242955263883,23.21960081065376,21 Jun 2025 11:31:21.000000000,83.82752730994083,80.81722735330102,1e-30,1356.1499251814134,76.42935314446811,181.20096469759807,0.09370000000088904,-179.2970596887082,46.4293531444681,30.0,-104.77161155312997,-104.77161155312997,2874.5622000074472,831.3029045831812,-6335.639301482837,6.869650620664265,-0.5339895420919756,3.0470644415753565,7.534045805021991
240,9,178.33190927642238,23.388142750926427,21 Jun 2025 11:31:22.000000000,83.86634800073591,80.8560480440961,1e-30,1350.1022770079605,76.42935314293938,181.16214400527426,0.09369999999699934,-179.3351771740017,46.42935314293938,30.0,-104.73279086233488,-104.73279086233488,2881.4300697317426,830.7684386613465,-6332.588621005601,6.866329701944136,-0.5349485047217598,3.0543932649238164,7.534054134084535
241,9,178.44081241051762,23.557824455018867,21 Jun 2025 11:31:23.000000000,83.9052685858308,80.89496862919098,1e-30,1344.0661404719365,76.42935314446811,181.1232234217081,0.09370000000088904,-179.3743665634389,46.4293531444681,30.0,-104.69387027723998,-104.69387027723998,2888.294614863624,830.2330140965402,-6329.53061346334,6.863000841872977,-0.5359068554600128,3.0617185944532936,7.534062480819978
242,9,178.55102679148638,23.728656822574848,21 Jun 2025 11:31:24.000000000,83.94428856758742,80.93398861094761,1e-30,1338.0416788201555,76.42935314599681,181.08420344148018,0.09370000000477874,-179.41465198209883,46.429353145996814,30.0,-104.65485029548336,-104.65485029548336,2895.155827451731,829.6966315025574,-6326.465282358739,6.859664044173752,-0.5368645932045364,3.0690404217178164,7.5340708452008025
243,9,178.66257475917723,23.900650809207423,21 Jun 2025 11:31:25.000000000,83.98340741755221,80.9731074609124,1e-30,1332.029057866696,76.42935314446811,181.0450845899867,0.09370000000088904,-179.45605815825195,46.4293531444681,30.0,-104.61573144551858,-104.61573144551858,2902.0136995891385,829.159291490707,-6323.392631184776,6.856319312558635,-0.5378217168604511,3.07635873831836,7.534079227199497
