,Access Number,Azimuth,Elevation,Range,Time,C/No,Eb/No,BER,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,x,y,z,xVel,yVel,zVel,RelSpeed,Lat,Lon,Alt,Modulation
597,11,217.590352754941,0.3386175476976765,2910.086945641596,21 Jun 2025 14:44:53.000000000,29.518110596843666,26.507810640203854,1e-30,28.75190163941533,187.83292990564246,2.3649177290850765,94.35511068784805,-1.2480983605846705,30.0,2390.0946053900243,871.4979627809045,-6528.602916025986,7.080867149838318,-0.4498162205214148,2.5323541377402865,7.533513901549128,-68.69537381220815,-111.0308604818821,647.1678951856356,BPSK
598,11,219.05698181519864,0.21674236154469767,2923.232247558286,21 Jun 2025 14:45:03.000000000,39.11885909422934,36.10855913758953,1e-30,38.3917972608312,187.87207702967265,2.344635144767758,94.94231968286063,8.391797260831193,30.0,2460.7648852057655,866.9495634760017,-6502.901936837493,7.052888476425474,-0.4598435536506306,2.607722155676049,7.533585255104837,-68.12591931915262,-111.69112336384543,647.0203519354297,BPSK
599,11,219.1991620990419,0.20408688013070486,2924.6023264507303,21 Jun 2025 14:45:03.974519458,39.320913977048555,36.31061402040874,1e-30,38.59792214738336,187.87614703340557,2.3425476951650395,94.99941770172099,8.59792214738336,30.0,2467.636761087223,866.5009593991153,-6500.357066267795,7.050118281735354,-0.4608179372262519,2.61505108177832,7.533592311642466,-68.07030175656766,-111.75383314340135,647.0057682942258,BPSK
600,12,89.211622516331,6.854811117729535e-06,2930.3556898104553,21 Jun 2025 19:19:42.186553056,38.344292960223214,35.3339930035834,1e-30,37.63837148192043,187.893217384768,1.9285314982544146,69.42335280633334,7.638371481920434,30.0,-4705.406301728084,762.3215746031282,-5134.893864847973,5.582944823796653,0.6355365536675986,-5.02366738833788,7.537268314532464,-47.44279759328108,-29.067452239049533,639.7872906545533,BPSK
601,12,90.26125734078524,0.4353698891939773,2882.801938446744,21 Jun 2025 19:19:52.000000000,26.227930112059784,23.21763015541997,1e-30,25.379897968099915,187.75110671911094,1.9824914954569717,70.0853335935913,-4.6201020319000845,30.0,-4650.358204614595,768.5157711513326,-5183.905119296332,5.636023499997915,0.6268516508575998,-4.964966885020774,7.537148005317698,-48.03467756422897,-29.290842090038513,640.0218040891423,BPSK
602,12,91.36800076100174,0.8781698882961606,2835.2564453643135,21 Jun 2025 19:20:02.000000000,29.535781342142187,26.525481385502374,1e-30,28.543300017744166,187.60665753867275,2.039139343495912,70.7652456437527,-1.4566999822558357,30.0,-4593.731027344062,774.7396964211446,-5233.252699196153,5.689461550208827,0.6179305303859086,-4.904584883765288,7.537026187678174,-48.637417667486325,-29.522814140295356,640.2597087365489,BPSK
603,12,92.5135329024917,1.3195882793732776,2788.6846923451953,21 Jun 2025 19:20:12.000000000,36.33060305621703,33.32030309957722,1e-30,35.19426305905168,187.46279886590543,2.0973996128716426,71.45101041012545,5.194263059051675,30.0,-4536.572761706641,780.8740608306456,-5281.99365948861,5.742237817592769,0.60893865584266,-4.843638970089232,7.53690519463653,-49.239749110111056,-29.75935901336607,640.4964435652744,BPSK
604,12,93.69912230273077,1.7590173134179614,2743.1422947382534,21 Jun 2025 19:20:22.000000000,38.75653523406851,35.746235277428696,1e-30,37.47717370785082,187.3197773368531,2.157183701588381,72.1431175417026,7.477173707850814,30.0,-4478.890055126333,786.9181554561266,-5330.122397119096,5.794346324306759,0.599877082066828,-4.782136266843701,7.536785064883969,-49.841657530779344,-30.00068566316732,640.731915477714,BPSK
605,12,94.92599908979916,2.1957735017166335,2698.687247634686,21 Jun 2025 19:20:32.000000000,39.74795908294876,36.73765912630895,1e-30,38.3266819675695,187.1778617476915,2.2183772873533507,72.84208811231844,8.3266819675695,30.0,-4420.689612050369,792.8712950680383,-5377.633380571726,5.84578117344759,0.5907468545775689,-4.720083957241813,7.53666583692279,-50.443127729624315,-30.247015230779894,640.9660318015844,BPSK
606,12,96.1953380037067,2.629092009977746,2655.3799150418045,21 Jun 2025 19:20:42.000000000,40.09008304949575,37.07978309285595,1e-30,38.52828811690855,187.0373439304836,2.280837178227319,73.54845598096544,8.528288116908552,30.0,-4361.978196597385,798.7327983246324,-5424.5211504290355,5.89653654689746,0.5815490345516979,-4.657489284001675,7.536547549048959,-51.044143601769406,-30.49858194575079,641.1987003303432,BPSK
607,12,97.50823877168732,3.0581215939455793,2613.282969092955,21 Jun 2025 19:20:52.000000000,40.12152738134552,37.11122742470571,1e-30,38.42092789204081,186.89853937376608,2.344388687953217,74.26277024615682,8.420927892040806,30.0,-4302.762631144644,804.5019914035722,-5470.780320017082,5.946606706411077,0.5722846947129463,-4.594359548382696,7.536430239334213,-51.64468806523954,-30.755634107010774,641.4298293634487,BPSK
