,Access Number,Azimuth,Elevation,Time,C/No,Eb/No,BER,Range,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed,Antenna Azimuth,Antenna Elevation
0,9,163.9731205251298,1.0552848962722243,22 Jun 2025 10:15:20.000000000,32.18686796864258,29.176568012002768,1e-30,2815.7894691065503,31.134543323634883,187.5468142180631,0.9998303855186813,-89.70751609533153,1.134543323634884,30.0,-156.4122708944282,-156.4122708944282,4064.853260246761,783.622530847562,-5653.008471228448,6.137604883762061,-0.5998468732038993,4.331106433195484,7.535814018149579,164.9731205251298,1.0552848962722192
1,9,163.95187225348195,1.1191611050266252,22 Jun 2025 10:15:21.000000000,32.13272442994204,29.12242447330222,1e-30,2808.932536949855,31.059222352375496,187.52563678550422,0.9998092312782793,-89.6893696308077,1.0592223523754953,30.0,-156.46641443312876,-156.46641443312876,4070.9883860333257,783.022232764853,-5648.674176296665,6.132905450005919,-0.6007518145096375,4.337652218543272,7.535825022542807,164.95187225348195,1.119161105026607
2,9,163.93053705337073,1.1831972289703347,22 Jun 2025 10:15:22.000000000,32.07326550682729,29.062965550187478,1e-30,2802.0759160288517,30.97853520166019,187.5044085579037,0.9997867767228594,-89.67112636331564,0.9785352016601896,30.0,-156.5258733562435,-156.5258733562435,4077.118808914962,782.4210301022945,-5644.333338211622,6.128198897917392,-0.6016560682165223,4.344193025594505,7.535836038587997,164.93053705337073,1.1831972289703305
3,9,163.90911416117842,1.2473944128693664,22 Jun 2025 10:15:23.000000000,32.008308517854836,28.99800856121502,1e-30,2795.2196182182647,30.8922989804122,187.48312932562814,0.9997630120876797,-89.65278546701178,0.8922989804121995,30.0,-156.59083034521595,-156.59083034521595,4083.2445211954832,781.818926537306,-5639.985961961392,6.123485233249508,-0.6025596288163938,4.350728846732242,7.535847066248904,164.90911416117842,1.2473944128693548
4,9,163.8876029772208,1.3117538436895744,22 Jun 2025 10:15:24.000000000,31.937655214101397,28.927355257461585,1e-30,2788.3636521490475,30.800315218534035,187.46179886750343,0.9997379274823645,-89.63434610152402,0.8003152185340365,30.0,-156.66148364896938,-156.66148364896938,4089.365516921297,781.2159167859016,-5635.632052527263,6.118764460425718,-0.6034625041831236,4.35725967437622,7.535858105489311,164.8876029772208,1.3117538436896012
5,9,163.86600272326464,1.3762766881211597,22 Jun 2025 10:15:25.000000000,31.861090413587494,28.85079045694768,1e-30,2781.5080298611397,30.702368521968175,187.44041697145147,0.9997115129086226,-89.61580742140809,0.7023685219681762,30.0,-156.7380484494833,-156.7380484494833,4095.481788411548,780.6120045226403,-5631.27161490884,6.114036585211042,-0.6043646888073327,4.363785500925694,7.535869156272923,164.86600272326464,1.376276688121171
6,9,163.844312670568,1.4409641341844257,22 Jun 2025 10:15:26.000000000,31.77838036939573,28.768080412755918,1e-30,2774.652762393974,30.598224927128697,187.41898342080376,0.9996837582455187,-89.59716856961302,0.5982249271286952,30.0,-156.82075849367504,-156.82075849367504,4101.593328551306,780.0071904399598,-5626.904654122026,6.109301612947864,-0.6052661816410934,4.370306318775554,7.535880218563409,164.844312670568,1.4409641341844286
7,9,163.82253202448075,1.505817370914539,22 Jun 2025 10:15:27.000000000,31.689270983938194,28.67897102729838,1e-30,2767.797861948103,30.487630121900104,187.3974980010327,0.9996546532558847,-89.57842868012946,0.48763012190010635,30.0,-156.90986787913258,-156.90986787913258,4107.7001296933295,779.4014782343635,-5622.531175166913,6.104559549405135,-0.6061669771973957,4.376822120357836,7.535891292324466,164.82253202448075,1.5058173709145257
8,9,163.80066015671332,1.5708376302139948,22 Jun 2025 10:15:28.000000000,31.59348568897201,28.583185732332197,1e-30,2760.943337502153,30.370307311895242,187.375960485994,0.9996241875635582,-89.55958687265007,0.3703073118952399,30.0,-157.00565317409877,-157.00565317409877,4113.802185896458,778.7948625917469,-5618.151183058709,6.099810399038263,-0.6070670833234267,4.383332898108165,7.535902377519727,164.80066015671332,1.5708376302140028
9,9,163.77869625745404,1.636026123521759,22 Jun 2025 10:15:29.000000000,31.490723214362863,28.48042325772305,1e-30,2754.089201487097,30.245955010128434,187.3543706588364,0.9995923506849465,-89.54064226057424,0.2459550101284312,30.0,-157.10841564870793,-157.10841564870793,4119.899489477398,778.1873472104074,-5613.7646828458855,6.095054167668101,-0.6079664945240202,4.389838644419843,7.53591347411274,164.77869625745404,1.6360261235217757
10,9,163.75663950774998,1.7013840743233906,22 Jun 2025 10:15:30.000000000,31.380654851990837,28.370354895351024,1e-30,2747.2354663692063,30.114244290238528,187.3327283013185,0.9995591320062571,-89.52159394625795,0.11424429023852867,30.0,-157.21848401107994,-157.21848401107994,4125.992032816553,777.5789358022793,-5609.371679543818,6.090290861082371,-0.608865205326335,4.396339351752002,7.535924582067136,164.75663950774998,1.7013840743233903
11,9,163.73448925686282,1.7669127495262744,22 Jun 2025 10:15:31.000000000,31.262921381140693,28.25262142450088,1e-30,2740.3821414059676,29.974815701584276,187.31103318351438,0.9995245207745809,-89.50244101794314,-0.025184298415722346,30.0,-157.33621748193008,-157.33621748193008,4132.0798099759295,776.969623030387,-5604.9721781978,6.085520483765377,-0.6097632235579635,4.402835012545466,7.5359357013464505,164.73448925686282,1.7669127495262797
