,Access Number,Azimuth,Elevation,Range,Time,C/No,Eb/No,BER,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed,Lat,Lon,Alt,Modulation
304,1,224.26596687438433,15.512767157934887,1694.682975859018,20 Jun 2025 12:51:01.000000000,101.65866364317823,98.64836368653842,1e-30,96.19610472533579,183.13657994522833,1.909095910416423e-06,84.04598900189536,66.19610472533577,30.0,-86.94047521989256,-86.94047521989256,3123.449875483638,761.276080383934,-6225.638393906075,6.739805922450765,-0.676429092893028,3.2991236583452554,7.534371712562891,-62.6930037998624,-87.77847614605976,645.4342924701697,BPSK
305,1,224.5298248616341,15.53140690683006,1693.6511954191922,20 Jun 2025 12:51:02.000000000,101.6639535177036,98.65365356106379,1e-30,96.19610472533579,183.131290070703,2.091309789151873e-06,85.26400665983775,66.19610472533577,30.0,-86.93518534536719,-86.93518534536719,3130.1878691388692,760.5992125054055,-6222.33566657946,6.736197095179189,-0.677307371968505,3.306326651600617,7.534380698392402,-62.6343915344052,-87.82239251524828,645.4159789168875,BPSK
306,1,224.79405231857118,15.549494249775188,1692.649832116498,20 Jun 2025 12:51:03.000000000,101.66909052786166,98.65879057122184,1e-30,96.19610472533579,183.12615306054494,1.909095910416423e-06,85.38562247675956,66.19610472533577,30.0,-86.93004833520915,-86.93004833520915,3136.9222512531114,759.921464420304,-6219.02573783408,6.732580471147342,-0.6781848794288017,3.3135258611859695,7.5343897008257175,-62.57576738474746,-87.86615250710358,645.3976335488397,BPSK
307,1,225.05863886518196,15.567026588975072,1691.678939166208,20 Jun 2025 12:51:04.000000000,101.67407412716175,98.66377417052193,1e-30,96.19610472533579,183.12116946124485,1.909095910416423e-06,84.42765065021429,66.19610472533577,30.0,-86.92506473590903,-86.92506473590903,3143.6530134874574,759.2428391933687,-6215.708611449517,6.728956054885084,-0.6790616093524476,3.32072127880858,7.534398719831799,-62.51713142174204,-87.90975709597993,645.3792564396048,BPSK
308,1,225.32357403392504,15.584001397768239,1690.738568193936,20 Jun 2025 12:51:05.000000000,101.67890378445668,98.66860382781687,1e-30,96.19610472533579,183.1163398039499,2.091309789151873e-06,85.62943242197335,66.19610472533577,30.0,-86.92023507861413,-86.92023507861413,3150.3801475090654,758.5633399097864,-6212.384291213619,6.725323850933651,-0.6799375558297857,3.3279128961796562,7.534407755379561,-62.45848371530295,-87.95320724870332,645.3608476628103,BPSK
309,1,225.5888473830529,15.60041611682297,1689.828774811486,20 Jun 2025 12:51:06.000000000,101.68357895539833,98.67327899875852,1e-30,96.19610472533579,183.11166463300822,1.909095910416423e-06,85.75164793592923,66.19610472533577,30.0,-86.91555990767245,-86.91555990767245,3157.1036466210358,757.8829627384287,-6209.05278094042,6.721683862371557,-0.6808127276444538,3.3351007049881924,7.534416807437828,-62.39982433460827,-87.99650392450957,645.3424072921335,BPSK
310,1,225.8544482744036,15.616268363474946,1688.9496074967699,20 Jun 2025 12:51:07.000000000,101.68809913966454,98.67779918302473,1e-30,96.19610472533579,183.10714444874202,2.091309789151873e-06,84.81044899252052,66.19610472533577,30.0,-86.91103972340625,-86.91103972340625,3163.8235025038102,757.2017107611641,-6205.71408443149,6.718036093754104,-0.6816871188862293,3.342284696959437,7.5344258759753915,-62.341153348899525,-88.03964807459064,645.3239354015899,BPSK
311,1,226.12036598829886,15.631555829468981,1688.101113100357,20 Jun 2025 12:51:08.000000000,101.69246385281255,98.68216389617274,1e-30,96.19610472533579,183.10277973559403,2.091309789151873e-06,85.99645635115628,66.19610472533577,30.0,-86.90667501025823,-86.90667501025823,3170.539706821099,756.5195870829003,-6202.368205507998,6.71438054966041,-0.6825607236531311,3.3494648637982753,7.534434960960983,-62.28247082614998,-88.08264064305892,645.3054320650994,BPSK
312,1,226.386589837007,15.646276175603335,1687.2833424864823,20 Jun 2025 12:51:09.000000000,101.69667259734749,98.68637264070767,1e-30,96.19610472533579,183.0985709910591,2.091309789151873e-06,86.1192201950787,66.19610472533577,30.0,-86.90246626572332,-86.90246626572332,3177.2522529136454,755.8365878431439,-6199.015147994734,6.710717233176387,-0.6834335507192733,3.356641197236009,7.5344440623632805,-62.22377683420957,-88.1254825662603,645.2868973568368,BPSK
313,1,226.65310894351038,15.660427244005529,1686.4963392824454,20 Jun 2025 12:51:10.000000000,101.70072492070219,98.69042496406237,1e-30,96.19610472533579,183.0945186677044,2.091309789151873e-06,86.24195399830509,66.19610472533577,30.0,-86.89841394236859,-86.89841394236859,3183.9611324359507,755.1527161452952,-6195.654915737918,6.707046148907472,-0.6843055941802126,3.3638136889673915,7.5344531801508525,-62.165071440018224,-88.16817477337155,645.2683313510075,BPSK
