,Access Number,Azimuth,Elevation,Time,C/No,Eb/No,BER,Range,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed,Lat,Lon,Alt,Antenna Azimuth,Antenna Elevation
0,9,163.43765696609063,2.634909443945261,22 Jun 2025 10:15:44.000000000,97.7711515389599,94.76085158232009,1e-30,2651.331746062029,96.19610472533579,187.02409204944666,0.0,0.0,66.19610472533577,30.0,-90.8279873241109,-90.8279873241109,4210.783927892788,768.9671384068922,-5547.189647180097,6.022864644012732,-0.621373542290163,4.486815936401529,7.536081265903624,39.32359620308395,121.1419799350415,628.2217121891855,163.43765696609063,2.634909443945255
1,9,162.81494485106376,4.397123675032926,22 Jun 2025 10:16:09.000000000,98.35005297821758,95.33975302157776,1e-30,2480.3844497692003,96.19610472533579,186.44519061018897,0.0,0.0,66.19610472533577,30.0,-90.2490858848532,-90.2490858848532,4359.813844755903,753.1570827841023,-5433.026660915313,5.899060979252165,-0.6433611629038253,4.645856478894671,7.536366262686286,37.80039720483893,120.69230865515263,627.8801989710823,162.81494485106376,4.397123675032927
2,9,162.10980766473654,6.303771450509993,22 Jun 2025 10:16:34.000000000,98.96806853038672,95.9577685737469,1e-30,2310.0332037487124,96.19610472533579,185.82717505801983,0.0,0.0,66.19610472533577,30.0,-89.63107033268406,-89.63107033268406,4505.6950050182,736.8030705053001,-5314.929199700825,5.770973591060975,-0.6648881467213069,4.801561501705353,7.536657434899948,36.27578997259535,120.2565130369841,627.5478379198638,162.10980766473654,6.303771450509989
3,9,161.30026756310298,8.387917384963268,22 Jun 2025 10:16:59.000000000,99.62985150368624,96.61955154704643,1e-30,2140.5682215810148,96.19610472533579,185.16539208472034,0.0,0.0,66.19610472533577,30.0,-88.96928735938454,-88.96928735938454,4648.3214480589395,719.9168202781066,-5192.98206958847,5.638693027142685,-0.6859388317139613,4.953817453952197,7.536954192661787,34.74987030613756,119.833340274703,627.2258916453417,161.30026756310298,8.387917384963252
4,9,160.35606669021533,10.69288062343318,22 Jun 2025 10:17:24.000000000,100.34067861942185,97.33037866278204,1e-30,1972.3669556822422,96.19610472533579,184.45456496898473,0.0,0.0,66.19610472533577,30.0,-88.25846024364894,-88.25846024364894,4787.589519158941,702.5104249159998,-5067.272884314507,5.5023129341708525,-0.7064978963144539,5.102513124164942,7.537255938689895,33.222726564753955,119.42166345108438,626.9155996150538,160.35606669021533,10.69288062343318
5,9,159.23440850901036,13.27612815558232,22 Jun 2025 10:17:49.000000000,101.1064024026519,98.09610244601208,1e-30,1805.9325624138528,96.19610472533579,183.68884118575468,0.0,0.0,66.19610472533577,30.0,-87.49273646041891,-87.49273646041891,4923.397943086909,684.5963662442678,-4937.892004880812,5.361930004270745,-0.7265503428922788,5.247539727049755,7.537562069954792,31.69444081208104,119.02046511271585,626.6181742512098,159.23440850901036,13.276128155582324
6,9,157.8728188207013,16.214738155499173,22 Jun 2025 10:18:14.000000000,101.93321696386234,98.92291700722252,1e-30,1641.9532993033592,96.19610472533579,182.86202662454423,0.0,0.0,66.19610472533577,30.0,-86.66592189920846,-86.66592189920846,5055.647903312084,666.1874858401505,-4804.93247656714,5.217643911883536,-0.7460815352443183,5.388790989602962,7.5378719794166,30.16508978310533,118.62882325660553,626.3347970925839,157.8728188207013,16.214738155499155
7,9,156.17661660256024,19.612809772127353,22 Jun 2025 10:18:39.000000000,102.8270088348615,99.81670887822169,1e-30,1481.3961346749254,96.19610472533579,181.96823475354506,0.0,0.0,66.19610472533577,30.0,-85.77213002820929,-85.77213002820929,5184.243113466568,647.2970011970635,-4668.489963051989,5.069557253853954,-0.7650771851807323,5.526163236612155,7.538185057894974,28.63474570241898,118.24589932087648,626.066615033488,156.17661660256024,19.612809772127346
8,9,153.995734369485,23.610548074189563,22 Jun 2025 10:19:04.000000000,103.79181275881419,100.78151280217438,1e-30,1325.6565162753598,96.19610472533579,181.0034308295924,0.0,0.0,66.19610472533577,30.0,-84.80732610425662,-84.80732610425662,5309.089895338057,627.9384672449979,-4528.66267713015,4.917775477403814,-0.7835233986583791,5.659555475782848,7.538500696150601,27.103476978578385,117.87092784807757,625.814736652437,153.995734369485,23.610548074189566
9,9,151.0791219790376,28.39198080095725,22 Jun 2025 10:19:29.000000000,104.82638600122255,101.81608604458273,1e-30,1176.799157557239,96.19610472533579,179.96885758718403,0.0,0.0,66.19610472533577,30.0,-83.77275286184825,-83.77275286184825,5430.097249636377,608.1257846427096,-4385.5513073418615,4.762406810217345,-0.8014066737366968,5.788869482555088,7.538818287289585,25.571348794426363,117.50320754969641,625.5802286425609,151.0791219790376,28.39198080095725
10,9,146.97872028797414,34.178565296397174,22 Jun 2025 10:19:54.000000000,105.91701280949732,102.90671285285751,1e-30,1037.937034906995,96.19610472533579,178.87823077890926,0.0,0.0,66.19610472533577,30.0,-82.68212605357348,-82.68212605357348,5547.176928532232,587.873194063803,-4239.258939270086,4.603562182338732,-0.8187139177530407,5.914009885045765,7.539137229564196,24.038423608054835,117.14209354835035,625.3641123554826,146.9787202879741,34.17856529639717
11,9,140.83332626640265,41.16516416154086,22 Jun 2025 10:20:19.000000000,107.02360118973252,104.0133012330927,1e-30,913.7798759000285,96.19610472533579,177.77164239867406,0.0,0.0,66.19610472533577,30.0,-81.57553767333826,-81.57553767333826,5660.243510938192,567.1952372988903,-4089.890970728906,4.441355136149495,-0.8354324906729008,6.034884248763599,7.539456929238897,22.504761580353247,116.78699061356848,625.167360470816,140.83332626640265,41.16516416154088
12,9,130.87164292457138,49.26809726709521,22 Jun 2025 10:20:44.000000000,108.05747228076552,105.04717232412571,1e-30,811.237531443007,96.19610472533579,176.73777130764105,0.0,0.0,66.19610472533577,30.0,-80.54166658230528,-80.54166658230528,5769.214468229837,546.1067777182736,-3937.5550227154527,4.275901739668005,-0.8515501815265383,6.151403158547599,7.539776801599841,20.9704209382209,116.43734723754262,624.9908938021961,130.87164292457138,49.2680972670952
13,9,113.54701366872352,57.38098977168541,22 Jun 2025 10:21:09.000000000,108.86205507501758,105.85175511837777,1e-30,739.4671660277389,96.19610472533579,175.93318851338896,0.0,0.0,66.19610472533577,30.0,-79.7370837880532,-79.7370837880532,5874.010223843109,524.6229693425473,-3782.3608592597,4.107320499551118,-0.8670551744783779,6.2634802881392595,7.5400962647390415,19.435458283636837,116.09265042311222,624.8355782511422,113.54701366872352,57.3809897716854
