,Access Number,Azimuth,Elevation,Range,Time,C/No,Eb/No,BER,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,x,y,z,xVel,yVel,zVel,RelSpeed,Lat,Lon,Alt,Modulation
160,3,274.4576388893785,14.896093935903906,1701.088166264542,20 Jun 2025 22:55:50.000000000,101.62589650980861,98.6155965531688,1e-30,96.19610472533579,183.16934707859792,1.0595052317529985e-05,-88.18576436012677,66.19610472533577,30.0,-6076.271169568478,722.5283723171913,-3411.087839493422,3.7379176657125233,0.7473874378586406,-6.506777427006993,7.541138438095564,-29.427541762630543,-79.8249466806431,632.6095681450313,BPSK
161,3,271.80228017307303,14.876369029599994,1702.6687208742258,20 Jun 2025 22:56:00.000000000,101.61782982094181,98.607529864302,1e-30,96.19610472533579,183.17741376746477,1.1861002560218683e-05,-89.5871795489697,66.19610472533577,30.0,-6038.540566394453,729.9602586502134,-3475.9562505508475,3.8081215127609425,0.7389708487381919,-6.466759777815036,7.541011165301634,-30.038463076279495,-79.97863045614403,632.8371003895037,BPSK
162,3,269.1575046472934,14.802738126153159,1707.2119386955912,20 Jun 2025 22:56:10.000000000,101.59468419451741,98.5843842378776,1e-30,96.19610472533579,183.20055939388914,0.0,0.0,66.19610472533577,30.0,-6000.10991177387,737.30759355325,-3540.421135388178,3.877879183948872,0.7304692030376868,-6.425993460073313,7.5408835139388986,-30.649206366270988,-80.13368877488661,633.0663096497599,BPSK
163,3,266.5335569525865,14.676302442311373,1714.6925223696358,20 Jun 2025 22:56:20.000000000,101.55670789888075,98.54640794224093,1e-30,96.19610472533579,183.23853568952583,1.2074182697257333e-06,-93.44258207460085,66.19610472533577,30.0,-5960.984106219727,744.5694573410298,-3604.4743678255327,3.9471819117214224,0.7218835871672902,-6.384483760100966,7.540755521871484,-31.259767293797335,-80.29017296578041,633.2971099506553,BPSK
164,3,263.940142256459,14.498849624964029,1725.0701768715387,20 Jun 2025 22:56:30.000000000,101.5042976351076,98.49399767846779,1e-30,96.19610472533579,183.29094595329894,2.2588727439225514e-06,-93.11182838434947,66.19610472533577,30.0,-5921.167538355821,751.74505218087,-3668.108868491576,4.016022064826226,0.7132149671153368,-6.342235421091286,7.540627225306486,-31.87014142127916,-80.44813627991752,633.529414479956,BPSK
165,3,261.3862721802451,14.272777756401615,1738.2906101840579,20 Jun 2025 22:56:40.000000000,101.4379852931202,98.4276853364804,1e-30,96.19610472533579,183.35725829528639,3.6222548091772017e-06,-94.83854261564338,66.19610472533577,30.0,-5880.664872874048,758.8335529768354,-3731.317274309687,4.084391708817499,0.704464361485821,-6.2992534791869605,7.5404986614089236,-32.48032420528926,-80.60763399464719,633.7631356273141,BPSK
166,3,258.880082262229,14.000998623319726,1754.2868293652923,20 Jun 2025 22:56:50.000000000,101.35842092074799,98.34812096410818,1e-30,96.19610472533579,183.43682266765856,4.597711793052992e-06,-95.46863357852453,66.19610472533577,30.0,-5839.480853793493,765.8341448625874,-3794.0922726320937,4.1522829675358395,0.6956327982385385,-6.255543054616744,7.540369867628326,-33.09031098910541,-80.7687235240228,633.9981850236219,BPSK
167,3,256.4287085126821,13.686827234199567,1772.980673741444,20 Jun 2025 22:57:00.000000000,101.2663529450218,98.25605298838198,1e-30,96.19610472533579,183.52889064338478,5.6632936810203245e-06,-96.27978612295878,66.19610472533577,30.0,-5797.620303774158,772.7460233095356,-3856.4266022557085,4.219688024176724,0.6867213145583565,-6.21110935087488,7.540240881681075,-33.70009699496464,-80.93146453610626,634.2344735807771,BPSK
168,3,254.03821178872215,13.333865533745744,1794.2845029722744,20 Jun 2025 22:57:10.000000000,101.16260685365555,98.15230689701573,1e-30,96.19610472533579,183.632636734751,6.502146373618268e-06,-97.7310743525425,66.19610472533577,30.0,-5755.088123605936,779.5683942035339,-3918.3130541428573,4.2865991220385995,0.677730956751888,-6.16595765408732,7.540111741532743,-34.309677315309806,-81.09591907750313,634.4719115315096,BPSK
169,3,251.71354834312484,12.945887676141611,1818.1029583534319,20 Jun 2025 22:57:20.000000000,101.04806350791725,98.03776355127744,1e-30,96.19610472533579,183.7471800804893,7.344438609485219e-06,-98.5774859189529,66.19610472533577,30.0,-5711.889292053121,786.3004697935605,-3979.7444724433444,4.353008565108941,0.6686627832766352,-6.12009333214582,7.539982485379311,-34.91904690324776,-81.26215170572586,634.7104084695201,BPSK
170,3,249.45858199184093,12.526732633447502,1844.334746515619,20 Jun 2025 22:57:30.000000000,100.92363801232011,97.9133380556803,1e-30,96.19610472533579,183.87160557608644,8.009106731400806e-06,-99.44956929225094,66.19610472533577,30.0,-5668.028863023752,792.9414854308363,-4040.7137552215886,4.418908720767099,0.6595178519220282,-6.073521834047514,7.539853151628833,-35.52820056382248,-81.43022963031488,634.949873390264,BPSK
171,3,247.27613072857443,12.080209692231902,1872.874323585547,20 Jun 2025 22:57:40.000000000,100.7902602640906,97.77996030745079,1e-30,96.19610472533579,184.00498332431596,8.622691156561401e-06,-100.73176811018968,66.19610472533577,30.0,-5623.511968868856,799.4906705288824,-4101.2138553876075,4.48429201734571,0.6502972418921059,-6.026248689044094,7.539723778882657,-36.137132942606165,-81.6002228626678,635.1902147313871,BPSK
172,3,245.16804038551513,11.610018218830168,1903.6135209616648,20 Jun 2025 22:57:50.000000000,100.64885736081186,97.63855740417206,1e-30,96.19610472533579,184.1463862275947,9.155702348202514e-06,-101.57584745955198,66.19610472533577,30.0,-5578.3438157399805,805.9472777172034,-4161.237781500375,4.54915094835684,0.6410020313085436,-5.978279505899444,7.539594405916999,-36.74583851469921,-81.77220437591129,635.4313404136852,BPSK
173,3,243.13527664560496,11.119684549278569,1936.4429803756905,20 Jun 2025 22:58:00.000000000,100.50033870816164,97.49003875152182,1e-30,96.19610472533579,184.29490488024493,9.545479552082156e-06,-102.76575815805133,66.19610472533577,30.0,-5532.529685833787,812.3105622969376,-4220.778598565179,4.613478070917459,0.6316333132145948,-5.929619972110706,7.539465071664759,-37.35431157356345,-81.94625027549138,635.6731578825317,BPSK
174,3,241.1780283765,10.61251467294965,1971.253454128894,20 Jun 2025 22:58:10.000000000,100.34558363098795,97.33528367434813,1e-30,96.19610472533579,184.4496599574186,9.919953340089666e-06,-103.57658710069595,66.19610472533577,30.0,-5486.074933738579,818.5798026289506,-4279.829428913321,4.677266008986923,0.6221921787610847,-5.8802758530688015,7.5393358151975125,-37.96254621726748,-82.12243998080507,635.9155741488345,BPSK
175,3,239.29580501930087,10.091560305744968,2007.9370612885955,20 Jun 2025 22:58:20.000000000,100.18543106274709,97.17513110610727,1e-30,96.19610472533579,184.60981252565946,0.0,0.0,66.19610472533577,30.0,-5438.984738936474,824.7543032691534,-4338.383761862823,4.740507784393737,0.612679691071843,-5.830252724451981,7.539206675024187,-38.57053633531236,-82.30085641946677,636.1584958307003,BPSK
