,Access Number,Azimuth,Elevation,Time,C/No,Eb/No,BER,Range,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed
197,9,157.43677293658777,17.11460289055459,22 Jun 2025 10:18:21.000000000,82.40974877904415,79.39944882240435,1e-30,1596.6018600247914,76.42935314446811,182.61874322849474,0.09370000000088904,-172.99200051719944,46.4293531444681,30.0,-106.18939008402663,-106.18939008402663,5092.027038789141,660.9461185296827,-4767.075480297375,5.176558261626291,-0.7514549053629893,5.4276506173400465,7.537959348173569
198,9,157.37221241461657,17.246234846494442,22 Jun 2025 10:18:22.000000000,82.4449398583778,79.43463990173798,1e-30,1590.1462778717214,76.42935314599681,182.5835521506898,0.09370000000477874,-172.91832446763016,46.429353145996814,30.0,-106.154199004693,-106.154199004693,5097.200544721818,660.19428969673,-4761.645169971145,5.170664691920762,-0.752219080782415,5.433177034979588,7.53797184892586
199,9,157.3070603716181,17.378661514523206,22 Jun 2025 10:18:23.000000000,82.48024099415561,79.4699410375158,1e-30,1583.6967307652117,76.42935314599681,182.548251014912,0.09370000000477874,-172.8438433669767,46.429353145996814,30.0,-106.11889786891518,-106.11889786891518,5102.368154750699,659.4416934123318,-4756.209336393141,5.164765093897697,-0.7529823958605086,5.438697193639986,7.537984354436362
200,9,157.24130808859118,17.511891351863962,22 Jun 2025 10:18:24.000000000,82.51565248693404,79.50535253029425,1e-30,1577.253302482941,76.42935314293938,182.51283951907612,0.09369999999699934,-172.76854454088019,46.42935314293938,30.0,-106.08348637613673,-106.08348637613673,5107.529862390927,658.6883342609622,-4750.767985801263,5.158859474802463,-0.7537448459403882,5.444211086849534,7.537996864666117
201,9,157.17494680971683,17.6459329463835,22 Jun 2025 10:18:25.000000000,82.55117464794245,79.54087469130263,1e-30,1570.8160766293645,76.42935314446811,182.47731735959644,0.09370000000088904,-172.69241510164343,46.4293531444681,30.0,-106.04796421512833,-106.04796421512833,5112.685661611786,657.9342131091504,-4745.321124477671,5.152947841379109,-0.7545064301281426,5.449718708107651,7.538009379576073
202,9,157.10796761125204,17.780794989561674,22 Jun 2025 10:18:26.000000000,82.58680776840286,79.57650781176304,1e-30,1564.3851380310318,76.42935314446811,182.44168423913604,0.09370000000088904,-172.6154419102577,46.4293531444681,30.0,-106.01233109466793,-106.01233109466793,5117.835546423908,657.179330821029,-4739.868758674207,5.147030200339284,-0.7552671475341727,5.455220050957899,7.53802189912726
203,9,157.04036139891605,17.916486275533316,22 Jun 2025 10:18:27.000000000,82.62255214164657,79.61225218500677,1e-30,1557.9605728535687,76.42935314599681,182.405939867421,0.09370000000477874,-172.53761157196894,46.429353145996814,30.0,-105.97658672142421,-105.97658672142421,5122.979510801363,656.4236882663115,-4734.410894695236,5.141106558451611,-0.7560269972651384,5.46071510890429,7.538034423280614
204,9,156.97211890251026,18.053015704060016,22 Jun 2025 10:18:28.000000000,82.65840804804604,79.64810809140623,1e-30,1551.5424685305322,76.42935314599681,182.37008396102155,0.09370000000477874,-172.4589104292109,46.429353145996814,30.0,-105.94073081502475,-105.94073081502475,5128.117548759538,655.6672863123085,-4728.947538814716,5.135176922452206,-0.7567859784320164,5.4662038754949895,7.538046951997146
205,9,156.90323054115382,18.19039224807335,22 Jun 2025 10:18:29.000000000,82.6943757551768,79.68407579853698,1e-30,1545.1309153350926,76.42935314446811,182.33411625236212,0.09370000000088904,-172.37932452141018,46.4293531444681,30.0,-105.904763107894,-105.904763107894,5133.2496538213245,654.9101295806876,-4723.478697335107,5.129241299661826,-0.7575440864146463,5.471686344260403,7.538059485237837
206,9,156.83368694370475,18.32862508389911,22 Jun 2025 10:18:30.000000000,82.73045554958196,79.72015559294215,1e-30,1538.7260004177788,76.42935314293938,182.2980364564282,0.09369999999699934,-172.29883971825114,46.42935314293938,30.0,-105.86868331348882,-105.86868331348882,5138.375820984609,654.1522114379299,-4718.004376531495,5.123299695711301,-0.7583013277939379,5.477162508779418,7.538072022963724
