,Access Number,Azimuth,Elevation,Time,C/No,Eb/No,BER,Range,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed,Antenna Azimuth,Antenna Elevation
0,9,164.39163505222788,0.05742194615381563,22 Jun 2025 10:15:20.000000000,48.28256968706272,45.27226973042292,1e-30,2925.172973150331,47.5612724777947,187.87784165380276,1.1549092577899518,-149.4838752617311,17.561272477794702,30.0,-140.31656917600804,-140.31656917600804,3964.8144851183342,793.2333915568726,-5722.306922553427,6.212739941296362,-0.5850722207809311,4.224379691432796,7.53563738904006,164.9731205251298,1.0552848962722192
1,9,164.37203471386977,0.11891554991174967,22 Jun 2025 10:15:21.000000000,48.42652921601626,45.41622925937645,1e-30,2918.3103020424,47.68483032902843,187.85743997608296,1.156137948742218,-149.59626313337455,17.68483032902843,30.0,-140.17260964705451,-140.17260964705451,3971.024802073922,792.6478652316905,-5718.079312212645,6.20815655767338,-0.5859881646015546,4.231005059712987,7.535648199654293,164.95187225348195,1.119161105026607
2,9,164.35235948239642,0.1805521969355912,22 Jun 2025 10:15:22.000000000,48.5394846242223,45.529184667582484,1e-30,2911.4477719447855,47.777336447283915,187.83699068613242,1.1573808733734232,-149.70924162024588,17.777336447283908,30.0,-140.05965423884848,-140.05965423884848,3977.230532691764,792.061420410734,-5713.845079086444,6.203565970516524,-0.5869034424524529,4.237625573610226,7.5356590225028475,164.93053705337073,1.1831972289703305
3,9,164.3326087157616,0.2423328774528022,22 Jun 2025 10:15:23.000000000,48.62112595952223,45.61082600288242,1e-30,2904.5853933825742,47.83848068815115,187.81649359169973,1.1586382198363145,-149.82281251656087,17.838480688151147,30.0,-139.97801290354855,-139.97801290354855,3983.431669203378,791.4740606659127,-5709.6042280245265,6.1989681854148895,-0.5878180487517056,4.244241225444621,7.535669857550016,164.90911416117842,1.2473944128693548
4,9,164.31278181921238,0.3042586004226873,22 Jun 2025 10:15:24.000000000,48.67090385748054,45.66060390084073,1e-30,2897.7231758824196,47.86771349066787,187.79594849625812,1.1599102563048576,-149.9369730445895,17.86771349066787,30.0,-139.92823500559024,-139.92823500559024,3989.628204424113,790.8857866680629,-5705.356763885603,6.194363207539146,-0.5887319824418172,4.250852007542636,7.535680704760108,164.8876029772208,1.3117538436896012
5,9,164.29287813790611,0.3663303739751057,22 Jun 2025 10:15:25.000000000,48.68801086525132,45.67771090861151,1e-30,2890.861130146279,47.86422720767047,187.77535520548994,1.1611971766074105,-150.05172488735278,17.86422720767047,30.0,-139.91112799781948,-139.91112799781948,3995.8201305717726,790.2966020162645,-5701.102691552643,6.189751042517923,-0.5896452379552589,4.257457912206819,7.535691564097316,164.86600272326464,1.376276688121171
6,9,164.27289717336393,0.42854924498994834,22 Jun 2025 10:15:26.000000000,48.671372042016316,45.66107208537651,1e-30,2883.9992637120604,47.826946693193044,187.75471351424753,1.162499108762441,-150.16707375074057,17.826946693193047,30.0,-139.92776682105446,-139.92776682105446,4002.0074416097113,789.7065015412812,-5696.842015913154,6.185131694690828,-0.5905578232488614,4.264058931759764,7.535702435525813,164.844312670568,1.4409641341844286
7,9,164.25283825866708,0.490916240685834,22 Jun 2025 10:15:27.000000000,48.61961674577355,45.609316789133736,1e-30,2877.137587391191,47.754501108565435,187.73402322586267,1.1638162516735278,-150.28302130717088,17.75450110856544,30.0,-139.97952211729722,-139.97952211729722,4008.190129797132,789.1154888365477,-5692.5747418439305,6.180505169679232,-0.5914697327582249,4.2706550585479315,7.535713319009808,164.82253202448075,1.5058173709145257
8,9,164.23270071994088,0.5534323974601901,22 Jun 2025 10:15:28.000000000,48.531026662830456,45.52072670619064,1e-30,2870.2761120970367,47.64517194241397,187.7132841426543,1.1651489200567853,-150.3995624440689,17.645171942413974,30.0,-140.06811220024034,-140.06811220024034,4014.36818737927,788.5235675165804,-5688.30087424381,6.175871473131128,-0.5923809609300759,4.27724628490068,7.535724214513424,164.80066015671332,1.5708376302140028
9,9,164.21248404135824,0.6160987910465751,22 Jun 2025 10:15:29.000000000,48.403508641417616,45.393208684777804,1e-30,2863.414845575346,47.496865834349165,187.69249605600234,1.166497212243613,-150.51670504174317,17.496865834349173,30.0,-140.19563022165318,-140.19563022165318,4020.5416083377095,787.9307323878726,-5684.020418019666,6.171230609403352,-0.5932915157037663,4.283832603161879,7.535735122000748,164.77869625745404,1.6360261235217757
